EdgeNo	F-Node	T-Node	r	x	b	Switch	SwitchState	maxAmp	type	ID	name	desc
1605	760	820	0	0	0	Y	1	0	刀闸	114841790497990286	114841790497990286	碧波站.合景同创线F02开关小车
1747	929	820	0	0	0	Y	1	0	断路器	114560315521280673	114560315521280673	碧波站.合景同创线F02开关
3182	2109	2044	0	0	0	Y	0	0	断路器	SWITCH_709220263775800	SWITCH_709220263775800	碧波站.604
3203	2109	2100	0	0	0	Y	1	0	断路器	SWITCH_709220263777600	SWITCH_709220263777600	碧波站.601
3205	2109	2013	0	0	0	Y	1	0	断路器	SWITCH_709220263777000	SWITCH_709220263777000	碧波站.602
3453	2109	2070	0	0	0	Y	1	0	刀闸	SWITCH_709220263783100	SWITCH_709220263783100	碧波站.65PT
3569	2109	2061	0	0	0	Y	1	0	断路器	SWITCH_709220263776400	SWITCH_709220263776400	碧波站.603
24235	15832	15833	0.04622	0.10400	0.00000	N	-1	441	交流线	SEG_709220017433200	SEG_709220017433200	配电线路_电缆700000674382602
24236	929	15827	0.05206	0.11714	0.00000	N	-1	441	交流线	SEG_709220346494100	SEG_709220346494100	220kV碧波站~中间接头04000204604
24237	15830	15828	0.02565	0.05771	0.00000	N	-1	441	交流线	SEG_709220017432800	SEG_709220017432800	配电线路_电缆700000674374002
24238	15835	15836	0.00292	0.00657	0.00000	N	-1	441	交流线	SEG_709440217799500	SEG_709440217799500	中间接头04000204298~中间接头04000204299
24239	15827	15835	0.02997	0.06743	0.00000	N	-1	441	交流线	SEG_709220017432700	SEG_709220017432700	配电线路_电缆700000674372702
24240	15834	15832	0.02375	0.05343	0.00000	N	-1	441	交流线	SEG_709220017433100	SEG_709220017433100	配电线路_电缆700000674382202
24241	15836	15830	0.04432	0.09971	0.00000	N	-1	441	交流线	SEG_709440217800500	SEG_709440217800500	中间接头04000204299~中间接头04000204300
24242	15833	2100	0.04038	0.09086	0.00000	N	-1	441	交流线	SEG_709220017433300	SEG_709220017433300	9999~物流园北区保公用环网柜
24243	15828	15831	0.00292	0.00657	0.00000	N	-1	441	交流线	SEG_709440217798500	SEG_709440217798500	中间接头04000204301~中间接头04000204302
24244	15829	15826	0.00292	0.00657	0.00000	N	-1	441	交流线	SEG_709440217806100	SEG_709440217806100	中间接头04000204303~中间接头04000204304
24245	15826	15834	0.07670	0.17257	0.00000	N	-1	441	交流线	SEG_709220017433000	SEG_709220017433000	配电线路_电缆700000674377902
24246	15831	15829	0.02743	0.06171	0.00000	N	-1	441	交流线	SEG_709220017432900	SEG_709220017432900	配电线路_电缆700000674375102
