EdgeNo	F-Node	T-Node	r	x	b	Switch	SwitchState	maxAmp	type	ID	name	desc
252	19	8	0	0	0	Y	1	0	断路器	114560315521261741	114560315521261741	明珠站.明铁线F09开关
3003	2146	2068	0	0	0	Y	1	0	刀闸	SWITCH_709440156588200	SWITCH_709440156588200	明珠站.6054
3009	2051	2148	0	0	0	Y	1	0	刀闸	SWITCH_709440156712500	SWITCH_709440156712500	明珠站.65PT
3026	2132	2092	0	0	0	Y	1	0	刀闸	SWITCH_709440156627100	SWITCH_709440156627100	明珠站.6054
3032	2024	2166	0	0	0	Y	1	0	刀闸	SWITCH_709440156609100	SWITCH_709440156609100	明珠站.6054
3037	2017	2130	0	0	0	Y	1	0	刀闸	SWITCH_709440167735500	SWITCH_709440167735500	明珠站.6024
3040	2012	2115	0	0	0	Y	1	0	刀闸	SWITCH_709220322072600	SWITCH_709220322072600	明珠站.61PT
3045	2076	2149	0	0	0	Y	1	0	刀闸	SWITCH_709440156607800	SWITCH_709440156607800	明珠站.6044
3049	2030	2181	0	0	0	Y	1	0	刀闸	SWITCH_709440203821500	SWITCH_709440203821500	明珠站.61PT
3174	2053	2165	0	0	0	Y	1	0	断路器	SWITCH_709220218172300	SWITCH_709220218172300	明珠站.65PT
3175	2091	2087	0	0	0	Y	1	0	断路器	SWITCH_709440242732500	SWITCH_709440242732500	明珠站.604
3176	2035	2151	0	0	0	Y	1	0	断路器	SWITCH_700000587463002	SWITCH_700000587463002	明珠站.805
3177	2051	2114	0	0	0	Y	1	0	断路器	SWITCH_700000887230802	SWITCH_700000887230802	明珠站.602
3178	2160	2135	0	0	0	Y	1	0	断路器	SWITCH_709220306957100	SWITCH_709220306957100	明珠站.603
3179	2099	2016	0	0	0	Y	1	0	断路器	SWITCH_709220302349100	SWITCH_709220302349100	明珠站.601
3180	2069	2064	0	0	0	Y	1	0	断路器	SWITCH_709220195507600	SWITCH_709220195507600	明珠站.806
3181	2030	2102	0	0	0	Y	1	0	断路器	SWITCH_709440203818500	SWITCH_709440203818500	明珠站.603
3183	2112	2161	0	0	0	Y	1	0	断路器	SWITCH_709440167733700	SWITCH_709440167733700	明珠站.803
3184	2058	2071	0	0	0	Y	1	0	断路器	SWITCH_709220195441300	SWITCH_709220195441300	明珠站.61PT
3185	2058	2107	0	0	0	Y	1	0	断路器	SWITCH_709220195440100	SWITCH_709220195440100	明珠站.603
3186	2099	2097	0	0	0	Y	1	0	断路器	SWITCH_709220302350400	SWITCH_709220302350400	明珠站.65PT
3187	2035	2048	0	0	0	Y	1	0	断路器	SWITCH_700000587463202	SWITCH_700000587463202	明珠站.603
3188	2069	2105	0	0	0	Y	1	0	断路器	SWITCH_709220195506300	SWITCH_709220195506300	明珠站.805
3189	2058	2180	0	0	0	Y	1	0	断路器	SWITCH_709220195438900	SWITCH_709220195438900	明珠站.605
3190	2053	2040	0	0	0	Y	1	0	断路器	SWITCH_709220218172900	SWITCH_709220218172900	明珠站.604
3191	2133	2063	0	0	0	Y	1	0	断路器	SWITCH_709220284338100	SWITCH_709220284338100	明珠站.61PT
3192	2032	2146	0	0	0	Y	1	0	断路器	SWITCH_709220307304500	SWITCH_709220307304500	明珠站.605
3193	2160	2132	0	0	0	Y	1	0	断路器	SWITCH_709220306959500	SWITCH_709220306959500	明珠站.605
3194	2030	2093	0	0	0	Y	1	0	断路器	SWITCH_709440203817900	SWITCH_709440203817900	明珠站.805
3195	2074	2122	0	0	0	Y	1	0	断路器	SWITCH_700000861839302	SWITCH_700000861839302	明珠站.803
3196	2051	2111	0	0	0	Y	1	0	断路器	SWITCH_700000887231302	SWITCH_700000887231302	明珠站.604
3197	2099	2101	0	0	0	Y	1	0	断路器	SWITCH_709220302338400	SWITCH_709220302338400	明珠站.603
3198	2133	2080	0	0	0	Y	1	0	断路器	SWITCH_709220284328800	SWITCH_709220284328800	明珠站.604
3199	2133	2139	0	0	0	Y	1	0	断路器	SWITCH_709220284330000	SWITCH_709220284330000	明珠站.602
3200	2014	2073	0	0	0	Y	1	0	断路器	SWITCH_709220307277100	SWITCH_709220307277100	明珠站.603
3201	2078	2117	0	0	0	Y	1	0	断路器	SWITCH_709220337238500	SWITCH_709220337238500	明珠站.803
3202	2095	2157	0	0	0	Y	1	0	断路器	SWITCH_700000601670102	SWITCH_700000601670102	明珠站.804
3204	2177	2119	0	0	0	Y	1	0	断路器	SWITCH_709440237537300	SWITCH_709440237537300	明珠站.602
3206	2112	2046	0	0	0	Y	1	0	断路器	SWITCH_709440167754100	SWITCH_709440167754100	明珠站.61PT
3207	2058	2094	0	0	0	Y	1	0	断路器	SWITCH_709220195440700	SWITCH_709220195440700	明珠站.602
3208	2047	2023	0	0	0	Y	1	0	断路器	SWITCH_700000851867802	SWITCH_700000851867802	明珠站.602
3209	2028	2021	0	0	0	Y	1	0	断路器	SWITCH_700000587366102	SWITCH_700000587366102	明珠站.805
3210	2053	2056	0	0	0	Y	1	0	断路器	SWITCH_709220218173500	SWITCH_709220218173500	明珠站.603
3211	2043	2136	0	0	0	Y	1	0	断路器	SWITCH_709440237563100	SWITCH_709440237563100	明珠站.601
3212	2032	2059	0	0	0	Y	1	0	断路器	SWITCH_709220307303300	SWITCH_709220307303300	明珠站.603
3213	2112	2017	0	0	0	Y	1	0	断路器	SWITCH_709440167732300	SWITCH_709440167732300	明珠站.602
3214	2116	2152	0	0	0	Y	1	0	断路器	SWITCH_709440212704600	SWITCH_709440212704600	明珠站.803
3215	2051	2077	0	0	0	Y	1	0	断路器	SWITCH_700000887231102	SWITCH_700000887231102	明珠站.603
3216	2095	2086	0	0	0	Y	1	0	断路器	SWITCH_700000601669902	SWITCH_700000601669902	明珠站.803
3217	2116	2038	0	0	0	Y	1	0	断路器	SWITCH_709440212704000	SWITCH_709440212704000	明珠站.601
3218	2055	2062	0	0	0	Y	1	0	断路器	SWITCH_709440156570100	SWITCH_709440156570100	明珠站.65PT
3219	2072	2084	0	0	0	Y	1	0	断路器	SWITCH_700000861837202	SWITCH_700000861837202	明珠站.803
3220	2091	2153	0	0	0	Y	1	0	断路器	SWITCH_709440242731300	SWITCH_709440242731300	明珠站.602
3221	2065	2154	0	0	0	Y	1	0	断路器	SWITCH_700000861841302	SWITCH_700000861841302	明珠站.601
3222	2095	2060	0	0	0	Y	1	0	断路器	SWITCH_700000601669302	SWITCH_700000601669302	明珠站.601
3440	2171	2085	0	0	0	Y	1	0	刀闸	SWITCH_709440203822100	SWITCH_709440203822100	明珠站.6024
3448	2142	2124	0	0	0	Y	1	0	刀闸	SWITCH_709440156586900	SWITCH_709440156586900	明珠站.6044
3456	2176	2128	0	0	0	Y	1	0	刀闸	SWITCH_709440156548300	SWITCH_709440156548300	明珠站.6044
3460	2029	2089	0	0	0	Y	1	0	刀闸	SWITCH_709440237539100	SWITCH_709440237539100	明珠站.6014
3462	2023	2118	0	0	0	Y	1	0	刀闸	SWITCH_709440156676600	SWITCH_709440156676600	明珠站.6024
3474	2159	2113	0	0	0	Y	1	0	刀闸	SWITCH_709440156549600	SWITCH_709440156549600	明珠站.6024
3483	2167	2083	0	0	0	Y	1	0	刀闸	SWITCH_709440156628400	SWITCH_709440156628400	明珠站.6044
3486	2012	2018	0	0	0	Y	1	0	断路器	SWITCH_709220322071400	SWITCH_709220322071400	明珠站.603
3548	2053	2027	0	0	0	Y	1	0	断路器	SWITCH_709220218174700	SWITCH_709220218174700	明珠站.601
3549	2160	2167	0	0	0	Y	1	0	断路器	SWITCH_709220306958900	SWITCH_709220306958900	明珠站.604
3550	2133	2090	0	0	0	Y	1	0	断路器	SWITCH_709220284328200	SWITCH_709220284328200	明珠站.605
