EdgeNo	F-Node	T-Node	r	x	b	Switch	SwitchState	maxAmp	type	ID	name	desc
1420	726	754	0	0	0	Y	1	0	断路器	114560315521293211	114560315521293211	盐田临时站.临田保合线F14开关
4811	3629	3622	0	0	0	Y	1	0	刀闸	SWITCH_709440188643100	SWITCH_709440188643100	盐田临时站.6144
4812	3607	3644	0	0	0	Y	1	0	刀闸	SWITCH_709440188601700	SWITCH_709440188601700	盐田临时站.6194
4814	3670	3665	0	0	0	Y	1	0	刀闸	SWITCH_709440188643500	SWITCH_709440188643500	盐田临时站.6154
4959	3662	3629	0	0	0	Y	1	0	断路器	SWITCH_709440188640800	SWITCH_709440188640800	盐田临时站.614
4961	3609	3607	0	0	0	Y	1	0	断路器	SWITCH_709440188598300	SWITCH_709440188598300	盐田临时站.619
4962	3605	3651	0	0	0	Y	1	0	断路器	SWITCH_709440188657500	SWITCH_709440188657500	盐田临时站.603
4963	3609	3659	0	0	0	Y	0	0	断路器	SWITCH_709440188601100	SWITCH_709440188601100	盐田临时站.618
4966	3662	3632	0	0	0	Y	1	0	断路器	SWITCH_709440188642300	SWITCH_709440188642300	盐田临时站.612
4968	3625	3640	0	0	0	Y	1	0	断路器	SWITCH_709440188623200	SWITCH_709440188623200	盐田临时站.609
4971	3625	3624	0	0	0	Y	1	0	断路器	SWITCH_709440188624300	SWITCH_709440188624300	盐田临时站.66PT
4972	3605	3610	0	0	0	Y	1	0	断路器	SWITCH_709440188658100	SWITCH_709440188658100	盐田临时站.602
4975	3609	3660	0	0	0	Y	1	0	断路器	SWITCH_709440188600500	SWITCH_709440188600500	盐田临时站.617
4976	3662	3618	0	0	0	Y	1	0	断路器	SWITCH_709440188641900	SWITCH_709440188641900	盐田临时站.611PT
5254	3645	3648	0	0	0	Y	1	0	刀闸	SWITCH_709440188625900	SWITCH_709440188625900	盐田临时站.6104
5258	3677	3614	0	0	0	Y	1	0	刀闸	SWITCH_709440188602900	SWITCH_709440188602900	盐田临时站.6204
5275	3640	3619	0	0	0	Y	1	0	刀闸	SWITCH_709440188625500	SWITCH_709440188625500	盐田临时站.6094
5280	3625	3600	0	0	0	Y	1	0	断路器	SWITCH_709440188625100	SWITCH_709440188625100	盐田临时站.608
5383	3605	3636	0	0	0	Y	1	0	断路器	SWITCH_709440188656300	SWITCH_709440188656300	盐田临时站.605
5384	3625	3646	0	0	0	Y	1	0	断路器	SWITCH_709440188624700	SWITCH_709440188624700	盐田临时站.607
5385	3609	3615	0	0	0	Y	1	0	断路器	SWITCH_709440188599900	SWITCH_709440188599900	盐田临时站.616PT
5390	3662	3670	0	0	0	Y	1	0	断路器	SWITCH_709440188641200	SWITCH_709440188641200	盐田临时站.615
5391	3605	3652	0	0	0	Y	1	0	断路器	SWITCH_709440188656900	SWITCH_709440188656900	盐田临时站.604
5393	3605	3673	0	0	0	Y	1	0	断路器	SWITCH_709440188678400	SWITCH_709440188678400	盐田临时站.61PT
5394	3625	3645	0	0	0	Y	1	0	断路器	SWITCH_709440188623600	SWITCH_709440188623600	盐田临时站.610
