EdgeNo	F-Node	T-Node	r	x	b	Switch	SwitchState	maxAmp	type	ID	name	desc
136	19	104	0	0	0	Y	1	0	断路器	114560315521261777	114560315521261777	明珠站.明交线F31开关
4816	3666	3672	0	0	0	Y	1	0	刀闸	SWITCH_709440191275300	SWITCH_709440191275300	明珠站.6014
4960	3666	3635	0	0	0	Y	1	0	断路器	SWITCH_709440191268300	SWITCH_709440191268300	明珠站.804
4964	3649	3639	0	0	0	Y	1	0	断路器	SWITCH_709440191384700	SWITCH_709440191384700	明珠站.804
4965	3616	3617	0	0	0	Y	1	0	断路器	SWITCH_709440191329100	SWITCH_709440191329100	明珠站.804
4967	3613	3668	0	0	0	Y	1	0	断路器	SWITCH_709440191352200	SWITCH_709440191352200	明珠站.805
4969	3616	3612	0	0	0	Y	1	0	断路器	SWITCH_709440191330300	SWITCH_709440191330300	明珠站.803
4970	3608	3628	0	0	0	Y	1	0	断路器	SWITCH_709440191194200	SWITCH_709440191194200	明珠站.805
4973	3649	3634	0	0	0	Y	1	0	断路器	SWITCH_709440191383500	SWITCH_709440191383500	明珠站.803
4974	3608	3675	0	0	0	Y	1	0	断路器	SWITCH_709440191195400	SWITCH_709440191195400	明珠站.601
5266	3616	3602	0	0	0	Y	1	0	刀闸	SWITCH_709440191697400	SWITCH_709440191697400	明珠站.6014
5270	3649	3631	0	0	0	Y	1	0	刀闸	SWITCH_709440191389900	SWITCH_709440191389900	明珠站.6014
5379	3613	3626	0	0	0	Y	1	0	断路器	SWITCH_709440191351000	SWITCH_709440191351000	明珠站.601
5380	3608	3664	0	0	0	Y	1	0	断路器	SWITCH_709440191226100	SWITCH_709440191226100	明珠站.807
5381	3608	3641	0	0	0	Y	1	0	断路器	SWITCH_709440190981600	SWITCH_709440190981600	明珠站.604
5382	3620	3647	0	0	0	Y	1	0	断路器	SWITCH_709440191297800	SWITCH_709440191297800	明珠站.805
5386	3620	3676	0	0	0	Y	1	0	断路器	SWITCH_709440191296600	SWITCH_709440191296600	明珠站.601
5387	3666	3637	0	0	0	Y	1	0	断路器	SWITCH_709440191267100	SWITCH_709440191267100	明珠站.803
