nd,gisid,mean_p,std_p,max_p,min_p
NODE_709220386595100,700000062395002,0.3175034379671151,0.09300470008899149,0.5781000000000001,0.1161
NODE_709220386594800,700000062394902,0.3175034379671151,0.09300470008899149,0.5781000000000001,0.1161
NODE_709220386254800,700000848911602,0.010630463205080314,0.00740890021031914,0.02938,0.00428
NODE_709220342320200,709220342322700,0.5671891302724897,0.32315225095023276,1.79456,0.0038399999999999997
NODE_709220386121400,709220295446700,0.16149359282779233,0.04022829157389706,0.32281199999999993,0.09242099999999999
NODE_709220386146800,700000848924402,0.010630463205080314,0.00740890021031914,0.02938,0.00428
NODE_709220386121100,709220295445700,0.16149359282779233,0.04022829157389706,0.32281199999999993,0.09242099999999999
NODE_709220386489100,709220328974500,0.5671894736842105,0.32315292695954884,1.7946,0.0038399999999999997
NODE_709440260320000,709440260319200,0.027327711826347304,0.030131249168144966,0.21117600000000006,0.002709
NODE_709220386463800,700000846636302,0.5671894736842105,0.32315292729973694,1.7946,0.0038
NODE_709220386464600,700000846637602,0.5671894736842105,0.32315292729973694,1.7946,0.0038
NODE_709440152588100,709440152590500,0.03376433482810164,0.020811033898660892,0.09054000000000001,0.00577
NODE_709220386658000,700000285136802,0.012811105263157893,0.00429927650930696,0.0289485,0.004788000000000001
NODE_709220401233700,700000725680102,0.071197857356236,0.017319594054976527,0.12423599999999999,0.020349
NODE_709440068606200,700000651102502,0.1800131370425691,0.06102462072889908,0.32337899999999997,0.0378
NODE_709220400732900,700000682995002,0.2082147413213886,0.04937095813424381,0.35418600000000006,0.07591500000000001
NODE_709220400695200,700000156840302,0.03796694288913774,0.00878045212562225,0.07651999999999999,0.014199999999999999
NODE_709220400725700,709220314329100,0.16525989544436148,0.04132491112422384,0.309125,0.0
NODE_709220400872400,709220180163700,0.22467287336570785,0.0540638421445956,0.381654,0.070875
NODE_709220400724900,709220314327800,0.23327122993654348,0.0531230366747779,0.406125,0.0
NODE_709220400694900,700000156840102,0.06871600000000001,0.004376155593415048,0.07484,0.062079999999999996
NODE_709220401966600,700000725700602,0.03568928827483196,0.020104292919940696,0.13419,0.001701
NODE_709220400707400,700000156846002,0.06351203679491968,0.012738011266836474,0.1035405,0.0187425
NODE_709440068608800,700000062592802,0.2225871836506159,0.06011515199069153,0.40464900000000004,0.073269
NODE_709440295171000,709440295081100,0.2762011277072442,0.06390800320517095,0.47961899999999996,0.0
NODE_709220400965200,709220342783200,0.13934138214419123,0.10464648252266769,0.5245599999999999,0.00176
NODE_709440133393000,700000326008702,0.08256569764837626,0.02794197570790585,0.21879899999999994,0.0
NODE_709220272094800,709220339457600,0.0677954759238522,0.02765789318175279,0.1776,0.0020800000000000003
NODE_709220339467000,709220272097200,0.14606061963419184,0.035398551019126465,0.2682,0.057699999999999994
NODE_709220271902000,709220271848100,0.15754526315789474,0.040036117311636754,0.27183999999999997,0.07192
NODE_709440133680800,700000068100402,0.05834548375046694,0.0661992378884938,0.352485,0.014048999999999999
NODE_709440133649000,700000156879402,0.009363619260918254,0.002840009238251795,0.014176,1.6e-05
NODE_709440133628000,700000156880702,0.009363619260918254,0.002840009238251795,0.014176,1.6e-05
NODE_709440209293000,700000060383902,0.07470407020164302,0.018682672777132914,0.1484,0.03545
NODE_709220271838900,709220271742900,0.1195250156774916,0.03833324377233862,0.24758999999999998,0.042020999999999996
NODE_709440133684700,700000203272602,0.0028078043315907394,0.0005700424619871249,0.0052,0.0018
NODE_709220271840100,709220271754200,0.13868960059723776,0.041418373864800885,0.28096,0.060719999999999996
NODE_709440133386700,700000269888602,0.0022644660194174756,0.001443246271665129,0.00844,0.0002
NODE_709220223038400,700000156882002,0.009363619260918254,0.002840009238251795,0.014176,1.6e-05
NODE_709440141077400,709220293206700,0.012793702020202021,0.007515732065794309,0.040509,0.0017954999999999998
NODE_709440000698500,700000165919602,0.6535301231802911,0.16687822893700474,1.0665,0.054000000000000006
NODE_709440000771400,700000214898902,0.6535301231802911,0.16687822893700474,1.0665,0.054000000000000006
NODE_709440000656900,700000165917702,0.6535290220231429,0.1668778615774627,1.0665,0.054
NODE_709220351556500,709220305893300,0.006736940605155023,0.0031664668320761464,0.02395,0.0
NODE_709220351496800,709220311383000,1.0063527653213754e-05,2.75404207943702e-06,0.00011,0.0
NODE_709220351578800,709220170535200,0.2990831052631579,0.04063828764657198,0.4432049999999999,0.05903099999999999
NODE_709440197955600,709440197951600,1.9613789395070949,0.351989636489218,3.6792000000000002,1.284
NODE_709220351428000,709220248806300,0.007157798206278026,0.0022430451223607417,0.019782000000000004,0.003276
NODE_709440198066700,709440198065900,1.9613799477221807,0.35198921053691606,3.6792499999999997,1.2839999999999998
NODE_709440197955500,709440197951000,1.9613789395070949,0.351989636489218,3.6792000000000002,1.284
NODE_709220351578500,709220170534200,0.2990831052631579,0.04063828764657198,0.4432049999999999,0.05903099999999999
NODE_709440197931000,709440197922300,1.9613789395070949,0.351989636489218,3.6792000000000002,1.284
NODE_709220370925000,700000831576302,0.025764949494949497,0.002013792655686773,0.028199999999999996,0.02123
NODE_709440271967900,709440271967100,0.0063384759058647735,0.002020905036870314,0.028900000000000002,0.0017000000000000001
NODE_709220277479000,709220277481900,0.11438190654205607,0.07765473445643295,0.5165599999999999,0.00128
NODE_709220277478900,709220277482900,0.11438190654205607,0.07765473445643295,0.5165599999999999,0.00128
NODE_709440197973800,709440197971800,1.9613789395070949,0.351989636489218,3.6792000000000002,1.284
NODE_709440222322300,709440222319000,0.02024216200074655,0.01411602110059194,0.043024,0.004272
NODE_709440198022000,709440198020200,1.9613789395070949,0.351989636489218,3.6792000000000002,1.284
NODE_709220351517800,709220260857000,0.01149765496639283,0.005276177304216749,0.037520000000000005,0.00456
NODE_709220351460900,700000075864002,0.019545602913709374,0.009622950765261233,0.07941150000000001,0.0
NODE_709440197955700,709440197952200,1.9613789395070949,0.351989636489218,3.6792000000000002,1.284
NODE_709220385341100,700000160582802,0.18456218304071723,0.05080849428605379,0.3969,0.082656
NODE_709220385331000,700000334667002,0.22678600261389098,0.0666764009178499,0.44566199999999995,0.09613799999999999
NODE_709220385321100,709220279187400,0.32754640776699023,0.09153846291787254,0.58512,0.14792
NODE_709440202300600,709440202293100,0.21734213592233007,0.046804688709980204,0.35496,0.1092
NODE_709220385162800,700000136898802,0.04827842419716205,0.015371333410909035,0.0968,0.019039999999999998
NODE_709220385203900,700000165482902,0.022901417475728155,0.0072055827140149005,0.05474699999999999,0.010458
NODE_709440202029300,709440202033500,0.18290493467711832,0.05159330640120241,0.34952,0.0696
NODE_709220385363200,700000277794902,0.15064395856662935,0.03540985619653093,0.245007,0.06955199999999999
NODE_709220385076600,709220325585700,-0.0005748095593726658,0.02084344090734549,0.028249999999999997,-0.06581999999999999
NODE_709220385172700,709220315056200,0.022767961165048544,0.017067445531799254,0.0737,0.003175
NODE_709440209136200,709440209135400,0.08882309358288769,0.07805758574941424,0.358029,0.0078119999999999995
NODE_709220345160400,700000853363302,0.019996415235250184,0.002521679299040416,0.039200000000000006,0.0152
NODE_709220174458700,709220174455500,0.3231814050822122,0.18946417296786966,0.728,0.01104
NODE_709220174458500,709220174454500,0.3231814050822122,0.18946417296786966,0.728,0.01104
NODE_709220385187200,700000165479902,0.2947429510646246,0.07301828811476092,0.53216,0.13096000000000002
NODE_709440187805200,709440187804400,0.12790153443113772,0.03944133008403451,0.2323,0.0365
NODE_709220384919200,709220338828300,0.11604665420560746,0.04897506317044082,0.2268,0.04224
NODE_709440157378100,700000849220202,0.2156055617767824,0.05254162319968453,0.39020000000000005,0.0975
NODE_709220394420100,700000075267102,0.3728482176185144,0.07647992638031863,0.6417500000000002,0.195125
NODE_709440143159200,709220234221000,0.14004791825307952,0.09769229252235688,0.398601,0.003654
NODE_709440157402400,709220262268800,0.11418902912621359,0.027602482094203504,0.220311,0.048699000000000006
NODE_709220394426600,700000075269202,0.7617955563853621,0.4315037043590227,1.38125,0.15774999999999997
NODE_709220261737500,709220262268100,0.11851299440089585,0.028529997626981368,0.228501,0.052101
NODE_709440143075100,709220158228800,0.35234611817501865,0.12551534972464845,0.68488,0.18031999999999998
NODE_709440157389000,700000849301902,0.13548836445108287,0.0590928132761309,0.26292000000000004,0.03508
NODE_709220394242500,709220394239300,0.7617955563853621,0.4315037043590227,1.38125,0.15774999999999997
NODE_709220394420000,700000075268002,0.2658468073188947,0.11990987102798778,0.57925,0.098
NODE_709440157377300,700000849215702,0.20370055991041433,0.04783740645921232,0.38689999999999997,0.10619999999999999
NODE_709440143214400,700000060434902,0.2649916445108289,0.04415622814640236,0.397026,0.004535999999999999
NODE_709440143210300,700000060434502,0.2649916445108289,0.04415622814640236,0.397026,0.004535999999999999
NODE_709440142786100,709220126520300,0.23463545444361464,0.049021378046598986,0.39816,0.11358900000000001
NODE_709220394426500,700000075266402,0.7617955563853621,0.4315037043590227,1.38125,0.15774999999999997
NODE_709440143076200,709220158227800,0.35234640987284965,0.1255157411777601,0.6849,0.18030000000000002
NODE_709220387127100,700000503612702,0.24794179917879808,0.0466813910231859,0.36760000000000004,0.11664000000000002
NODE_709220088064500,700000874202702,0.9180559910414333,0.054248721316771824,1.328,0.5711999999999999
NODE_709220088066200,700000874204302,0.9180562709966406,0.05424846702213944,1.328,0.57125
NODE_709220088069800,700000874204602,0.9180559910414333,0.054248721316771824,1.328,0.5711999999999999
NODE_709220088069100,700000874204502,0.9180559910414333,0.054248721316771824,1.328,0.5711999999999999
NODE_709220088066800,700000874204402,0.9180559910414333,0.054248721316771824,1.328,0.5711999999999999
NODE_709220088070900,700000874204802,0.9180562709966406,0.05424846702213944,1.328,0.57125
NODE_709220088071500,700000874204902,0.9180559910414333,0.054248721316771824,1.328,0.5711999999999999
NODE_709220088065700,700000874203802,0.9180562709966406,0.05424846702213944,1.328,0.57125
NODE_709220088070300,700000874204702,0.9180562709966406,0.05424846702213944,1.328,0.57125
NODE_709220088065100,700000874203402,0.9180559910414333,0.054248721316771824,1.328,0.5711999999999999
NODE_709220392913100,709220075724100,0.19241288801791714,0.04474085069188403,0.31033799999999995,0.080829
NODE_709440273882600,709440273880500,0.028651326111318643,0.042763786961151,0.1884,0.0044
NODE_709220392999000,709220236706900,0.28698447144456884,0.04182495802357098,0.429282,0.16272899999999998
NODE_709440143124900,709440143124100,0.000600521105715353,0.0006663902962433704,0.004415,8.999999999999999e-05
NODE_709220383745300,700000660167702,0.022110782300224046,0.004809389858691066,0.037475,0.01061
NODE_709220393199000,700000135639702,0.08391672900335945,0.016479150061865597,0.14105700000000002,0.036225
NODE_709220393662000,700000901187502,0.2589848543689321,0.16192338381502772,0.6864,0.08704
NODE_709220392945900,709220300708200,0.020951561331338818,0.010920928034659525,0.07552500000000001,0.005225
NODE_709220393663200,709220173718400,0.25898356982823,0.16192196665730152,0.6864,0.087
NODE_709220393662600,700000901187802,0.2589848543689321,0.16192338381502772,0.6864,0.08704
NODE_709220393321600,700000900740302,0.009601672890216578,0.008872638143331849,0.040479999999999995,0.00256
NODE_709440215665800,709440215674900,0.29977365621500557,0.07384199434843888,0.565625,0.1415
NODE_709440286676300,709220308150500,0.4505379887850468,0.1375328783385128,0.81304,0.0016799999999999999
NODE_709440154868600,709440154879800,0.3683526000748223,0.10521100491654832,0.6257,0.0018
NODE_709440000802300,700000062591402,0.4641039100410601,0.10415637663778402,0.719,0.0
NODE_709440000357500,709220308117100,0.4505376465420562,0.1375328127933152,0.8130150000000002,0.001638
NODE_709440286368200,700000075533802,0.6113257698541329,0.2812375295439069,1.203625,0.004
NODE_709440286372300,709440286370500,0.6113257698541329,0.2812375295439069,1.203625,0.004
NODE_709440286676000,709220308149500,0.45053752523364476,0.1375325657117993,0.8130000000000002,0.0016399999999999997
NODE_709440286675700,709220308148500,0.45053752523364476,0.1375325657117993,0.8130000000000002,0.0016399999999999997
NODE_709440000836600,700000062596902,0.368611583011583,0.10701289493022735,0.69025,0.0
NODE_709220401001800,709220148322000,0.27331792494398804,0.08115864475276378,0.4801229999999999,0.07440300000000001
NODE_709440000802000,700000062591502,0.4641039100410601,0.10415637663778402,0.719,0.0
NODE_709440017734400,709220308168800,0.45053753271028035,0.13753295359748885,0.813,0.0016
